Cierre						
29.51						
29.84						
30.42						
31.21						
31.24						
31.25						
31.23						
32.31						
31.53						
30.44						
33.2						
33.76						
34.08						
33.23						
33.39						
33.58						
33.72						
33.23						
34.23						
33.09						
32.15						
31.93						
31.4						
31.43						
31.38						
33.06						
32.18						
33.24						
33.88						
33.65						
32.89						
31.16						
31.96						
31.5						
31.88						
30.42						
30.81						
32.66						
28.57						
31.18						
30.43						
34.94						
38.4						
41.16						
42.88						
42.6						
43.33						
42.42						
42.44						
42.14						
41.72						
41.43						
41.35						
40.69						
38.8						
39.12						
39.28						
39.6						
41.08						
41.96						
40.38						
39.51						
39.33						
39.83						
39.35						
38.3						
40.08						
40.97						
40.57						
39.97						
37.53						
37.62						
37.36						
36.41						
35.84						
35.96						
36.35						
36.51						
